TRAIN
(135, 201, 1.75)
(115, 235, 1.75)
(90, 179, 2.0)
(75, 165, 0.25)
(135, 293, 1.5)
(105, 199, 1.0)
(100, 159, 1.5)
(60, 169, 0.25)
(95, 248, 2.5)
(115, 235, 2.5)
(125, 241, 2.25)
(70, 172, 1.25)
(120, 152, 1.0)
(60, 293, 0.75)
(125, 211, 1.5)
(90, 170, 0.75)
(125, 202, 0.5)
(115, 206, 2.25)
(135, 206, 0.5)
(130, 196, 0.75)
(95, 208, 0.5)
(65, 288, 1.5)
(120, 233, 2.0)
(100, 285, 1.75)
(125, 230, 2.25)
(75, 164, 2.0)
(70, 252, 0.75)
(65, 248, 0.25)
(70, 179, 2.5)
(125, 289, 1.75)
(100, 298, 0.75)
(90, 221, 0.5)
(125, 280, 2.25)
(70, 246, 1.5)
(70, 236, 2.5)
(75, 152, 2.25)
(80, 223, 1.75)
(60, 229, 0.5)
(70, 199, 1.0)
(65, 257, 2.0)
(120, 193, 0.75)
(70, 262, 1.25)
(90, 199, 2.5)
(75, 189, 2.0)
(80, 178, 2.25)
(130, 260, 2.0)
(60, 225, 2.0)
(65, 151, 0.25)
(125, 250, 1.0)
(115, 191, 1.25)
(60, 171, 1.5)
(110, 184, 0.25)
(105, 230, 0.25)
(135, 254, 0.25)
(80, 275, 1.5)
(70, 298, 1.0)
(90, 154, 1.5)
(100, 190, 0.25)
(105, 168, 1.5)
(105, 292, 2.5)
(100, 267, 0.25)
(125, 258, 0.75)
(110, 261, 0.75)
(70, 241, 0.25)
(80, 159, 0.5)
(60, 208, 0.75)
(70, 182, 0.25)
(120, 280, 2.0)
(110, 245, 2.25)
(65, 190, 2.0)
(120, 170, 0.5)
(75, 187, 1.25)
(120, 256, 0.75)
(105, 269, 1.75)
(90, 249, 2.5)
(120, 267, 2.25)
(100, 193, 2.25)
(80, 205, 0.5)
(120, 231, 1.25)
(75, 279, 1.0)
(105, 260, 1.25)
(60, 282, 2.5)
(130, 282, 0.25)
(115, 172, 1.5)
(125, 242, 2.25)
(105, 261, 1.75)
(60, 249, 2.5)
(105, 226, 0.75)
(100, 183, 1.75)
(135, 246, 1.25)
(60, 284, 1.25)
(120, 241, 2.25)
(105, 220, 1.0)
(115, 280, 0.75)
(135, 273, 0.75)
(60, 293, 1.25)
(120, 287, 2.0)
(115, 254, 0.25)
(85, 192, 2.25)
(65, 229, 0.75)
(90, 241, 0.25)
(120, 192, 2.0)
(65, 222, 2.5)
(110, 268, 0.75)
(80, 222, 1.75)
(125, 222, 0.5)
(110, 198, 2.0)
(135, 272, 2.0)
(60, 168, 0.75)
(60, 186, 1.75)
(105, 195, 1.75)
(110, 233, 2.25)
(115, 207, 2.25)
(75, 212, 0.5)
(105, 265, 0.5)
(105, 196, 1.25)
(120, 235, 0.25)
(75, 158, 0.75)
(120, 260, 1.0)
(85, 160, 1.0)
(75, 210, 2.0)
(105, 229, 2.0)
(100, 158, 1.5)
(90, 215, 2.5)
(105, 294, 2.25)
(75, 152, 2.25)
(110, 238, 2.5)
(95, 167, 0.25)
(65, 230, 1.75)
(135, 281, 0.75)
(85, 154, 1.5)
(80, 290, 2.0)
(120, 258, 2.0)
(135, 179, 1.0)
(65, 201, 1.0)
(130, 241, 2.5)
(135, 211, 1.5)
(125, 191, 0.5)
(70, 171, 1.0)
(95, 300, 0.25)
(85, 298, 1.25)
(100, 221, 0.25)
(75, 206, 2.5)
(105, 213, 1.75)
(95, 213, 2.25)
(70, 186, 1.75)
(125, 266, 2.5)
(60, 180, 2.5)
(85, 167, 1.0)
(80, 270, 1.75)
(110, 195, 0.25)
(90, 189, 0.5)
(130, 283, 1.75)
(100, 217, 2.0)
