STATION
('123 Fake Street', 'Faketown', '15217', '07:00:00', '23:15:00')
('123 Fake Street', 'Faketown', '15217', '07:15:00', '20:15:00')
('123 Fake Street', 'Faketown', '15217', '05:30:00', '22:15:00')
('123 Fake Street', 'Faketown', '15217', '08:30:00', '20:30:00')
('123 Fake Street', 'Faketown', '15217', '08:00:00', '22:15:00')
('123 Fake Street', 'Faketown', '15217', '09:45:00', '21:00:00')
('123 Fake Street', 'Faketown', '15217', '05:45:00', '20:30:00')
('123 Fake Street', 'Faketown', '15217', '07:15:00', '20:15:00')
('123 Fake Street', 'Faketown', '15217', '06:15:00', '20:30:00')
('123 Fake Street', 'Faketown', '15217', '09:30:00', '21:00:00')
('123 Fake Street', 'Faketown', '15217', '06:30:00', '22:15:00')
('123 Fake Street', 'Faketown', '15217', '07:30:00', '20:45:00')
('123 Fake Street', 'Faketown', '15217', '05:15:00', '20:45:00')
('123 Fake Street', 'Faketown', '15217', '07:00:00', '22:00:00')
('123 Fake Street', 'Faketown', '15217', '07:30:00', '22:15:00')
('123 Fake Street', 'Faketown', '15217', '09:15:00', '22:30:00')
('123 Fake Street', 'Faketown', '15217', '05:45:00', '22:45:00')
('123 Fake Street', 'Faketown', '15217', '07:30:00', '21:45:00')
('123 Fake Street', 'Faketown', '15217', '09:30:00', '21:00:00')
('123 Fake Street', 'Faketown', '15217', '08:15:00', '20:30:00')
('123 Fake Street', 'Faketown', '15217', '05:00:00', '22:30:00')
('123 Fake Street', 'Faketown', '15217', '06:15:00', '21:45:00')
('123 Fake Street', 'Faketown', '15217', '05:45:00', '23:00:00')
('123 Fake Street', 'Faketown', '15217', '05:15:00', '20:00:00')
('123 Fake Street', 'Faketown', '15217', '08:00:00', '21:00:00')
('123 Fake Street', 'Faketown', '15217', '05:30:00', '21:30:00')
('123 Fake Street', 'Faketown', '15217', '05:00:00', '20:00:00')
('123 Fake Street', 'Faketown', '15217', '06:15:00', '20:00:00')
('123 Fake Street', 'Faketown', '15217', '05:00:00', '20:45:00')
('123 Fake Street', 'Faketown', '15217', '05:30:00', '20:30:00')
('123 Fake Street', 'Faketown', '15217', '05:00:00', '20:00:00')
('123 Fake Street', 'Faketown', '15217', '07:45:00', '23:30:00')
('123 Fake Street', 'Faketown', '15217', '06:00:00', '23:30:00')
('123 Fake Street', 'Faketown', '15217', '09:45:00', '21:30:00')
('123 Fake Street', 'Faketown', '15217', '08:15:00', '21:45:00')
('123 Fake Street', 'Faketown', '15217', '06:15:00', '21:00:00')
('123 Fake Street', 'Faketown', '15217', '08:00:00', '21:30:00')
('123 Fake Street', 'Faketown', '15217', '09:45:00', '21:00:00')
('123 Fake Street', 'Faketown', '15217', '08:15:00', '22:45:00')
('123 Fake Street', 'Faketown', '15217', '07:45:00', '23:30:00')
('123 Fake Street', 'Faketown', '15217', '07:30:00', '21:00:00')
('123 Fake Street', 'Faketown', '15217', '07:15:00', '21:45:00')
('123 Fake Street', 'Faketown', '15217', '05:45:00', '23:00:00')
('123 Fake Street', 'Faketown', '15217', '08:45:00', '20:00:00')
('123 Fake Street', 'Faketown', '15217', '07:00:00', '20:30:00')
('123 Fake Street', 'Faketown', '15217', '06:15:00', '23:30:00')
